NOTE:
FFi=-1 means that there is no Flop input to the target net n
FFo=-1 means that there is no Flop output from the target net n
PI=-1 means that there is no primary input reachable to target net n


LGFi_avg: 1.9382303839732888
FFi_avg: 3.571285475792988
PI_avg: 11.142904841402338
FFo_avg: 4.216026711185309
PO_avg: 10.85575959933222


Net	LGFi	FFi	FFo	PI	PO
I1127	1	3	7	8	13
n735gat	1	4	6	9	12
I1138	0	1	9	9	12
n833gat	1	2	8	10	11
I1141	1	3	7	11	13
n714gat	1	4	6	12	12
I1152	0	1	9	9	12
n706gat	1	2	8	10	11
I1155	1	3	7	11	13
n715gat	1	4	6	12	12
I1166	0	1	9	9	12
n837gat	1	2	8	10	11
I1169	1	3	7	11	13
n716gat	1	4	6	12	12
I1174	1	2	7	10	13
n717gat	1	3	6	11	12
I1178	1	2	7	10	13
n718gat	1	3	6	11	12
I1183	1	2	7	10	13
n719gat	1	3	6	11	12
n515gat	4	6	4	14	10
n709gat	12	5	4	13	10
I1190	1	7	3	15	9
n509gat	1	8	2	16	8
I1201	0	1	9	9	12
n829gat	1	2	8	10	11
I1204	1	3	7	11	13
n734gat	1	4	6	12	12
I1209	1	2	7	10	13
n736gat	1	3	6	11	12
I1216	4	6	3	11	9
n728gat	12	5	4	10	10
n510gat	1	7	2	12	8
I1227	0	1	9	9	12
n613gat	1	2	8	10	11
I1230	1	3	7	11	13
n498gat	1	4	6	12	12
I1236	1	2	7	10	13
n503gat	1	3	6	11	12
n404gat	4	6	4	11	10
n493gat	12	5	4	10	10
I1243	1	7	3	12	9
n511gat	1	8	2	13	8
n405gat	4	6	4	11	10
I1248	1	7	3	12	9
n512gat	1	8	2	13	8
I1251	4	6	3	11	9
n513gat	1	7	2	12	8
I1255	4	6	3	14	9
n514gat	1	7	2	15	8
n2524gat	0	1	5	16	16
n17gat	4	5	5	6	8
n564gat	4	4	6	5	9
n79gat	3	7	4	7	16
n86gat	3	6	5	6	17
n219gat	2	9	2	4	14
n78gat	2	8	3	3	15
n563gat	3	5	8	7	10
I1278	5	4	9	6	11
n289gat	1	6	7	8	9
n179gat	2	8	5	5	14
n287gat	2	7	6	4	8
n188gat	2	8	5	5	8
n288gat	2	7	6	4	8
n72gat	3	9	4	6	16
n181gat	4	8	5	5	17
n111gat	2	11	2	5	14
n182gat	2	10	3	4	15
I1302	0	1	9	7	10
n679gat	1	2	8	8	9
I1305	1	3	7	9	13
n808gat	1	4	6	10	12
I1319	0	1	9	7	10
n815gat	1	2	8	8	9
I1322	1	3	7	9	13
n809gat	1	4	6	10	12
I1336	0	1	9	7	10
n579gat	1	2	8	8	9
I1339	1	3	7	9	13
n810gat	1	4	6	10	12
n814gat	0	1	8	7	14
I1344	1	2	7	8	13
n811gat	1	3	6	9	12
n578gat	0	1	8	7	14
I1348	1	2	7	8	13
n812gat	1	3	6	9	12
n678gat	0	1	8	7	14
I1353	1	2	7	8	13
n813gat	1	3	6	9	12
n677gat	4	6	4	12	10
n803gat	12	5	4	11	10
I1360	1	7	3	13	9
n572gat	1	8	2	14	8
I1371	0	1	9	9	10
n823gat	1	2	8	10	9
I1374	1	3	7	11	13
n591gat	1	4	6	12	12
I1385	0	1	9	9	10
n819gat	1	2	8	10	9
I1388	1	3	7	11	13
n592gat	1	4	6	12	12
I1399	0	1	9	9	10
n882gat	1	2	8	10	9
I1402	1	3	7	11	13
n593gat	1	4	6	12	12
I1407	1	2	7	10	13
n594gat	1	3	6	11	12
I1411	1	2	7	10	13
n595gat	1	3	6	11	12
I1416	1	2	7	10	13
n596gat	1	3	6	11	12
I1422	4	6	3	14	9
n586gat	12	5	4	13	10
n573gat	1	7	2	15	8
I1436	0	1	9	7	10
n583gat	1	2	8	8	9
I1439	1	3	7	9	13
n691gat	1	4	6	10	12
I1450	0	1	9	9	10
n683gat	1	2	8	10	9
I1453	1	3	7	11	13
n692gat	1	4	6	12	12
I1464	0	1	9	9	10
n698gat	1	2	8	10	9
I1467	1	3	7	11	13
n693gat	1	4	6	12	12
I1472	1	2	7	10	13
n694gat	1	3	6	11	12
I1476	1	2	7	10	13
n695gat	1	3	6	11	12
n582gat	0	1	8	7	14
I1481	1	2	7	8	13
n696gat	1	3	6	9	12
n456gat	4	6	4	12	10
n686gat	12	5	4	11	10
I1488	1	7	3	13	9
n574gat	1	8	2	14	8
n565gat	4	6	4	14	10
I1493	1	7	3	15	9
n575gat	1	8	2	16	8
I1496	4	6	3	12	9
n576gat	1	7	2	13	8
I1500	4	6	3	12	9
n577gat	1	7	2	13	8
n2462gat	0	1	4	17	15
n2665gat	3	3	2	7	13
I1516	5	2	3	6	14
n2596gat	1	4	1	8	12
n189gat	2	8	5	5	8
n286gat	2	7	6	4	8
n194gat	3	9	4	6	13
n187gat	4	8	5	5	14
n21gat	3	7	4	7	13
n15gat	3	6	5	6	14
I1538	0	1	6	14	13
n2398gat	1	2	5	15	12
n2353gat	1	3	4	16	11
I1550	0	1	6	14	13
n2342gat	1	2	5	15	12
n2284gat	1	3	4	16	11
n2354gat	1	2	9	15	11
n2356gat	1	2	8	15	10
n2214gat	1	2	5	15	10
n2286gat	3	4	6	17	8
I1585	5	3	7	16	9
n2624gat	0	1	9	14	15
I1606	0	1	2	14	14
n2489gat	1	2	1	15	13
I1617	0	1	2	14	14
n2621gat	1	2	1	15	13
n2533gat	3	3	10	16	19
n2534gat	3	2	11	15	20
I1630	0	1	5	14	11
n2629gat	1	2	4	15	10
n2486gat	1	3	3	16	9
n2429gat	1	2	10	15	19
n2432gat	3	4	8	17	17
n2430gat	3	3	9	16	18
I1655	0	1	5	10	10
n2101gat	1	2	4	11	9
n1693gat	1	3	3	12	8
I1667	0	1	5	10	10
n1879gat	1	2	4	11	9
n1698gat	3	3	1	7	8
n1934gat	5	2	2	6	9
n1543gat	2	4	1	9	13
I1683	0	1	5	10	10
n1762gat	1	2	4	11	9
n1673gat	2	5	1	14	11
n2989gat	3	4	2	13	7
I1698	0	1	9	17	18
n2154gat	1	2	8	18	17
n2488gat	0	1	5	14	11
I1703	0	1	2	14	12
n2625gat	1	2	1	15	11
n2530gat	3	3	10	16	19
n2531gat	3	2	11	15	20
I1708	0	1	5	14	11
n2542gat	1	2	4	15	10
n2482gat	1	3	3	16	9
n2426gat	3	5	8	18	17
n2480gat	3	4	9	17	18
n2153gat	0	1	8	17	17
n2355gat	1	2	8	15	13
I1719	0	1	7	14	15
n2561gat	1	2	6	15	14
n2443gat	1	3	5	16	13
n2289gat	3	4	6	17	11
I1724	5	3	7	16	12
n2148gat	3	4	3	14	12
I1734	8	3	4	13	13
n855gat	1	5	2	15	11
n759gat	1	6	1	16	10
I1749	0	1	11	7	11
n1034gat	1	2	10	8	10
I1752	1	3	9	9	13
n1189gat	1	4	8	10	12
n1075gat	1	6	1	16	10
I1766	0	1	11	7	11
n1120gat	1	2	10	8	10
I1769	1	3	9	9	13
n1190gat	1	4	8	10	12
n760gat	1	6	1	16	10
I1783	0	1	11	7	11
n1071gat	1	2	10	8	10
I1786	1	3	9	9	13
n1191gat	1	4	8	10	12
n1119gat	0	1	10	7	7
I1791	1	2	9	8	13
n1192gat	1	3	8	9	12
n1070gat	0	1	10	7	7
I1795	1	2	9	8	13
n1193gat	1	3	8	9	12
n1033gat	0	1	10	7	7
I1800	1	2	9	8	13
n1194gat	1	3	8	9	12
n1183gat	4	6	6	12	10
n1184gat	12	5	6	11	10
I1807	1	7	5	13	9
n1274gat	1	8	4	14	8
n644gat	1	6	1	16	10
n1280gat	0	1	8	7	7
n641gat	1	6	1	16	10
I1833	0	1	9	7	11
n1225gat	1	2	8	8	10
I1837	0	1	9	7	11
n1281gat	1	2	8	8	10
n1224gat	0	1	8	7	7
I1843	2	4	5	10	9
n2970gat	4	3	6	9	10
n1275gat	1	5	4	11	8
n761gat	1	6	1	16	10
I1857	0	1	11	7	11
n930gat	1	2	10	8	10
I1860	1	3	9	9	13
n1206gat	1	4	8	10	12
n762gat	1	6	1	16	10
I1874	0	1	11	7	11
n1134gat	1	2	10	8	10
I1877	1	3	9	9	13
n1207gat	1	4	8	10	12
n643gat	1	6	1	16	10
I1891	0	1	11	7	11
n1044gat	1	2	10	8	10
I1894	1	3	9	9	13
n1208gat	1	4	8	10	12
n1133gat	0	1	10	7	7
I1899	1	2	9	8	13
n1209gat	1	3	8	9	12
n1043gat	0	1	10	7	7
I1903	1	2	9	8	13
n1210gat	1	3	8	9	12
n929gat	0	1	10	7	7
I1908	1	2	9	8	13
n1211gat	1	3	8	9	12
n1268gat	4	6	6	12	10
n1201gat	12	5	6	11	10
I1915	1	7	5	13	9
n1276gat	1	8	4	14	8
n1329gat	2	4	6	10	10
I1920	1	5	5	11	9
n1277gat	1	6	4	12	8
I1923	4	6	5	12	9
n1278gat	1	7	4	13	8
I1927	4	6	5	12	9
n1279gat	1	7	4	13	8
n1284gat	4	8	2	14	8
n1269gat	12	7	2	13	6
n642gat	1	6	1	16	11
n1195gat	0	1	2	7	8
I1947	0	1	3	7	9
n1196gat	1	2	2	8	8
n2516gat	0	1	5	11	16
I1961	1	2	4	12	15
n3017gat	1	3	3	13	14
n851gat	2	6	2	7	12
n853gat	2	5	3	6	13
n1725gat	1	5	2	15	12
n664gat	1	6	1	16	11
n852gat	2	6	2	7	12
n854gat	2	5	3	6	13
I1981	0	1	3	7	9
n666gat	1	2	2	8	8
n368gat	1	6	1	16	13
I1996	0	1	11	7	17
n658gat	1	2	10	8	16
I1999	1	3	9	9	15
n784gat	1	4	8	10	14
n662gat	1	6	1	16	13
I2014	0	1	11	7	17
n552gat	1	2	10	8	16
I2017	1	3	9	9	15
n785gat	1	4	8	10	14
n661gat	1	6	1	16	13
I2032	0	1	11	7	17
n776gat	1	2	10	8	16
I2035	1	3	9	9	15
n786gat	1	4	8	10	14
n551gat	0	1	8	7	10
I2040	1	2	9	8	15
n787gat	1	3	8	9	14
n775gat	0	1	8	7	10
I2044	1	2	9	8	15
n788gat	1	3	8	9	14
n657gat	0	1	8	7	10
I2049	1	2	9	8	15
n789gat	1	3	8	9	14
n35gat	4	6	6	12	12
n779gat	12	5	6	11	12
I2056	1	7	5	13	11
n125gat	1	8	4	14	10
n558gat	1	6	1	16	13
n559gat	0	1	8	7	10
n371gat	1	6	1	16	13
I2084	0	1	9	7	15
n365gat	1	2	8	8	14
I2088	0	1	9	7	15
n560gat	1	2	8	8	14
n364gat	0	1	8	7	10
I2094	2	4	5	10	11
n2876gat	4	3	6	9	12
n126gat	1	5	4	11	10
n663gat	1	6	1	16	13
I2109	0	1	11	7	17
n321gat	1	2	10	8	16
I2112	1	3	9	9	15
n226gat	1	4	8	10	14
n370gat	1	6	1	16	13
I2127	0	1	11	7	17
n317gat	1	2	10	8	16
I2130	1	3	9	9	15
n227gat	1	4	8	10	14
n369gat	1	6	1	16	13
I2145	0	1	11	7	17
n313gat	1	2	10	8	16
I2148	1	3	9	9	15
n228gat	1	4	8	10	14
n316gat	0	1	8	7	10
I2153	1	2	9	8	15
n229gat	1	3	8	9	14
n312gat	0	1	8	7	10
I2157	1	2	9	8	15
n230gat	1	3	8	9	14
n320gat	0	1	8	7	10
I2162	1	2	9	8	15
n231gat	1	3	8	9	14
n34gat	4	6	6	12	12
n221gat	12	5	6	11	12
I2169	1	7	5	13	11
n127gat	1	8	4	14	10
n133gat	2	4	6	10	12
I2174	1	5	5	11	11
n128gat	1	6	4	12	10
I2177	4	6	5	12	11
n129gat	1	7	4	13	10
I2181	4	6	5	12	11
n130gat	1	7	4	13	10
n665gat	0	1	2	7	8
n1601gat	4	8	2	14	8
n120gat	12	7	2	13	8
n2597gat	0	1	3	11	14
n2595gat	3	3	1	13	12
n2594gat	3	2	2	12	13
n2586gat	0	1	2	11	9
I2213	1	3	7	16	13
n2573gat	1	4	6	17	12
I2225	1	2	7	16	13
n2574gat	1	3	6	17	12
I2228	1	3	7	16	13
n2575gat	1	4	6	17	12
I2232	0	1	9	15	15
n2639gat	1	2	8	16	14
I2235	1	3	7	17	13
n2576gat	1	4	6	18	12
I2238	1	2	7	15	13
n2577gat	1	3	6	16	12
I2242	1	2	7	15	13
n2578gat	1	3	6	16	12
I2248	4	6	3	19	9
n2568gat	12	5	4	18	10
n2582gat	1	7	2	20	8
I2251	0	1	9	14	15
n2206gat	1	2	8	15	14
I2254	1	3	7	16	13
n2414gat	1	4	6	17	12
I2257	1	3	7	16	13
n2415gat	1	4	6	17	12
I2260	0	1	7	14	15
n2202gat	1	2	6	15	14
I2263	1	3	7	16	13
n2416gat	1	4	6	17	12
I2268	1	2	7	15	13
n2417gat	1	3	6	16	12
I2271	1	2	7	15	13
n2418gat	1	3	6	16	12
I2275	1	2	7	15	13
n2419gat	1	3	6	16	12
I2281	4	6	3	19	9
n2409gat	12	5	4	18	10
n2585gat	1	7	2	20	8
n2656gat	0	1	4	24	11
I2316	0	1	7	12	8
n2389gat	1	2	6	13	7
I2319	0	1	7	13	13
n2494gat	1	2	6	14	12
I2324	2	4	3	15	9
n3014gat	4	3	4	14	10
n2649gat	1	5	2	16	8
I2344	0	1	7	12	8
n2338gat	1	2	6	13	7
I2349	0	1	7	12	8
n2269gat	1	2	6	13	7
I2354	2	4	3	15	9
n2880gat	4	3	4	14	10
n2652gat	1	5	2	16	8
n2500gat	0	1	4	20	11
n2620gat	0	1	5	14	11
n2612gat	1	2	8	15	14
I2372	1	3	7	16	13
n2606gat	1	4	6	17	12
I2376	1	4	7	17	13
n2607gat	1	5	6	18	12
n2540gat	1	2	8	15	14
I2380	1	3	7	16	13
n2608gat	1	4	6	17	12
n2536gat	1	2	8	15	14
I2385	1	3	7	16	13
n2609gat	1	4	6	17	12
I2389	1	4	7	17	13
n2610gat	1	5	6	18	12
I2394	1	4	7	17	13
n2611gat	1	5	6	18	12
I2400	4	7	3	20	9
n2601gat	12	6	4	19	10
n2616gat	1	8	2	21	8
I2403	1	3	7	16	13
n2550gat	1	4	6	17	12
I2414	0	1	9	15	15
n2633gat	1	2	8	16	14
I2417	1	3	7	17	13
n2551gat	1	4	6	18	12
I2420	1	3	7	16	13
n2552gat	1	4	6	17	12
I2425	1	2	7	16	13
n2553gat	1	3	6	17	12
I2428	1	2	7	15	13
n2554gat	1	3	6	16	12
I2433	1	2	7	15	13
n2555gat	1	3	6	16	12
I2439	4	6	3	19	9
n2545gat	12	5	4	18	10
n2619gat	1	7	2	20	8
n2504gat	0	1	4	24	11
n2660gat	4	3	2	13	9
n2655gat	4	2	3	12	10
n1528gat	3	5	8	18	12
n2293gat	3	4	9	17	13
n1523gat	2	4	8	17	12
n2219gat	2	3	9	16	13
n1592gat	2	6	6	19	10
n1529gat	2	5	7	18	11
n2666gat	2	6	9	12	13
n1704gat	2	5	2	11	8
n2422gat	2	8	6	14	10
n3013gat	4	7	7	13	11
n2290gat	1	3	5	16	15
n2081gat	2	4	9	17	13
n2218gat	2	3	10	16	14
n2285gat	1	2	11	15	15
n2359gat	3	4	9	17	13
n2358gat	3	3	10	16	14
n1414gat	2	6	7	19	11
n1415gat	2	5	8	18	12
n566gat	1	2	7	8	9
n1480gat	3	4	9	17	13
n2292gat	3	3	10	16	14
n1301gat	2	6	7	19	11
n1416gat	2	5	8	18	12
n1150gat	1	2	7	8	9
n873gat	1	2	7	8	9
n2011gat	3	4	9	17	13
n2306gat	3	3	10	16	14
n1478gat	2	6	7	19	11
n1481gat	2	5	8	18	12
n875gat	1	2	7	8	9
n1410gat	3	4	9	17	13
n2357gat	3	3	10	16	14
n876gat	2	6	7	19	11
n1347gat	2	5	8	18	12
n1160gat	2	6	7	19	11
n1484gat	2	5	8	18	12
n1084gat	1	2	7	8	9
n983gat	1	2	7	8	9
n1482gat	3	4	9	17	13
n2363gat	3	3	10	16	14
n1157gat	2	6	7	19	11
n1483gat	2	5	8	18	12
n985gat	1	2	7	8	9
n1530gat	3	4	9	17	13
n2364gat	3	3	10	16	14
n1307gat	2	6	7	19	11
n1308gat	2	5	8	18	12
n1085gat	1	2	7	8	9
n1479gat	3	4	9	17	13
n2291gat	3	3	10	16	14
n1348gat	2	6	7	19	11
n1349gat	2	5	8	18	12
n2217gat	1	3	11	16	15
n1591gat	2	4	9	17	13
n2223gat	2	3	10	16	14
n1437gat	2	6	7	19	11
n1438gat	2	5	8	18	12
n1832gat	0	1	2	13	8
n1765gat	0	1	2	13	8
n1878gat	0	1	2	10	8
n1442gat	3	3	9	12	14
n1831gat	3	2	1	11	7
n1444gat	1	4	8	13	14
n1378gat	2	5	7	10	11
n2975gat	4	4	8	9	12
n1322gat	2	5	7	10	11
n2974gat	5	4	8	9	12
n1439gat	2	6	7	19	11
n1486gat	2	5	8	18	12
n1370gat	2	6	7	19	11
n1426gat	2	5	8	18	12
n1369gat	2	5	7	10	11
n2966gat	4	4	8	9	12
n1366gat	2	6	7	19	11
n1365gat	2	5	8	18	12
n1374gat	2	5	7	10	11
n2979gat	4	4	8	9	12
n2162gat	2	5	9	18	13
n2220gat	2	4	10	17	14
n1450gat	2	6	7	19	11
n1423gat	2	5	8	18	12
n1427gat	2	7	8	13	9
n1608gat	4	6	4	12	8
n2082gat	0	1	8	14	12
n1449gat	2	7	7	20	11
n1494gat	2	6	8	19	12
n1590gat	1	4	7	13	10
n1248gat	2	5	7	11	11
n2954gat	4	4	8	10	12
n1418gat	2	6	7	19	11
n1417gat	2	5	8	18	12
n1306gat	2	5	7	11	11
n2964gat	4	4	8	10	12
n1353gat	2	6	7	19	11
n1419gat	2	5	8	18	12
n1247gat	2	5	7	11	11
n2958gat	4	4	8	10	12
n1355gat	2	6	7	19	11
n1422gat	2	5	8	18	12
n1300gat	2	5	7	11	11
n2963gat	4	4	8	10	12
n1487gat	2	6	7	19	11
n1485gat	2	5	8	18	12
n1164gat	2	5	7	11	11
n2953gat	4	4	8	10	12
n1356gat	2	6	7	19	11
n1354gat	2	5	8	18	12
n1436gat	2	6	7	19	11
n1435gat	2	5	8	18	12
n1106gat	2	5	7	11	11
n2949gat	4	4	8	10	12
n1425gat	2	6	7	19	11
n1421gat	2	5	8	18	12
n1105gat	2	5	7	11	11
n2934gat	4	4	8	10	12
n1424gat	2	6	7	19	11
n1420gat	2	5	8	18	12
n1309gat	2	5	7	11	11
n2959gat	4	4	8	10	12
I2672	0	1	4	16	11
n2142gat	1	2	3	17	10
n1788gat	1	3	2	18	13
I2684	0	1	5	18	11
n2060gat	1	2	4	19	10
n1786gat	1	3	3	20	14
I2696	0	1	4	18	11
n2138gat	1	2	3	19	10
n1839gat	1	3	2	20	13
n1897gat	0	1	3	18	10
n1884gat	1	2	2	19	13
n1848gat	0	1	5	16	10
n1783gat	1	2	4	17	15
n1548gat	3	4	2	19	13
I2721	5	3	3	18	14
n1719gat	1	5	1	20	12
n2137gat	0	1	4	18	10
n1633gat	1	2	3	19	14
n2059gat	0	1	3	18	10
n1785gat	1	2	2	19	13
I2731	0	1	4	16	11
n1849gat	1	2	3	17	10
n1784gat	1	3	2	18	13
n1716gat	3	4	2	20	11
I2736	5	3	3	19	12
n1635gat	1	5	1	21	10
n2401gat	0	1	6	16	9
n1989gat	1	2	5	17	14
n2392gat	0	1	5	16	9
n1918gat	1	2	4	17	15
I2771	0	1	6	16	10
n2439gat	1	2	5	17	9
n1986gat	1	3	4	18	15
n1866gat	3	4	3	19	13
n1865gat	3	3	4	18	14
I2785	0	1	5	16	10
n2406gat	1	2	4	17	9
n2216gat	1	3	3	18	12
n2345gat	0	1	3	16	9
n1988gat	1	2	2	17	12
n1735gat	3	4	1	19	11
n1861gat	3	3	2	18	12
n1387gat	0	1	4	19	8
n1694gat	4	7	1	13	5
I2813	9	6	2	12	6
n1780gat	5	6	1	12	12
n2019gat	0	1	2	15	9
n1549gat	3	4	2	20	12
I2832	5	3	3	19	13
n1551gat	1	5	1	21	11
I2837	0	1	5	16	10
n2346gat	1	2	4	17	9
n2152gat	1	3	3	18	13
n2405gat	0	1	3	16	9
n2351gat	1	2	2	17	13
I2843	0	1	6	16	10
n2402gat	1	2	5	17	9
n2212gat	1	3	4	18	15
I2847	0	1	7	16	10
n2393gat	1	2	6	17	9
n1991gat	1	3	5	18	14
n1665gat	3	5	3	20	13
n1666gat	3	4	4	19	14
n1517gat	3	4	1	19	11
n1578gat	3	3	2	18	12
I2873	0	1	7	24	24
n1495gat	1	2	6	25	23
n1604gat	8	6	1	12	10
I2885	0	1	7	15	24
n2090gat	1	2	6	16	23
n1550gat	3	5	2	20	29
I2890	5	4	3	19	30
n1552gat	1	6	1	21	28
n1738gat	0	1	6	24	23
I2915	0	1	7	24	24
n1739gat	1	2	6	25	23
n1925gat	3	4	4	17	21
n1920gat	7	3	5	16	22
n1917gat	2	3	4	16	21
n1921gat	2	2	5	15	22
n2141gat	0	1	3	16	10
n1787gat	1	2	2	17	13
I2926	5	3	1	18	12
n1859gat	1	5	1	20	13
n1922gat	2	4	4	16	21
n1798gat	2	3	5	15	22
I2935	5	3	1	20	12
n1743gat	1	5	4	22	21
n1923gat	3	4	4	17	21
n1864gat	3	3	5	16	22
n1690gat	4	6	1	12	7
I2953	0	1	3	15	20
n2178gat	1	2	2	16	19
n1661gat	3	4	2	19	13
n1660gat	3	3	3	18	14
n1572gat	3	4	5	19	20
n1576gat	3	3	1	18	12
n2438gat	0	1	6	16	9
n2283gat	1	2	5	17	14
n1520gat	3	4	7	19	22
n1582gat	3	3	8	18	23
n1580gat	3	4	5	19	20
n1577gat	3	3	6	18	21
n1990gat	2	7	2	17	19
n2988gat	4	6	3	16	18
I2978	0	1	5	14	10
n2189gat	1	2	4	15	9
I2989	0	1	5	14	10
n2134gat	1	2	4	15	9
I3000	0	1	5	14	10
n2261gat	1	2	4	15	9
n2128gat	3	4	2	17	19
n2129gat	3	3	3	16	20
n1695gat	8	6	1	12	23
I3016	0	1	3	15	20
n2181gat	1	2	2	16	19
I3056	0	1	5	26	12
n1311gat	1	2	4	27	11
n1707gat	2	6	1	12	8
n1659gat	2	7	5	16	14
n2987gat	6	6	6	15	15
n1515gat	2	4	7	19	16
n1521gat	2	3	8	18	17
n1736gat	2	5	7	20	16
n1737gat	2	4	8	19	17
n1658gat	1	4	7	19	16
n1724gat	3	6	5	21	14
n1732gat	3	5	6	20	15
n1662gat	2	4	7	19	16
n1663gat	2	3	8	18	17
n1656gat	3	6	5	21	14
n1655gat	3	5	6	20	15
n1670gat	2	5	7	20	16
n1667gat	2	4	8	19	17
n1569gat	3	6	5	21	14
n1570gat	3	5	6	20	15
n1568gat	2	4	7	19	16
n1575gat	2	3	8	18	17
n1727gat	3	6	5	21	14
n1728gat	3	5	6	20	15
n1797gat	2	4	7	19	16
n1801gat	2	3	8	18	17
n1730gat	3	6	5	21	14
n1731gat	3	5	6	20	15
n1561gat	3	6	5	21	14
n1571gat	3	5	6	20	15
n1668gat	2	4	7	19	16
n1734gat	2	3	8	18	17
n1742gat	1	4	7	19	16
n1671gat	3	6	5	21	14
n1669gat	3	5	6	20	15
n1652gat	3	6	5	21	14
n1657gat	3	5	6	20	15
n1648gat	3	6	5	21	14
n1729gat	3	5	6	20	15
n1790gat	3	7	1	12	10
n1726gat	9	6	2	11	11
n2004gat	2	4	1	13	8
n1929gat	3	3	2	12	9
n1869gat	0	1	5	8	5
I3143	0	1	6	12	10
n2591gat	1	2	5	13	9
n1584gat	2	5	1	14	8
n1714gat	3	4	2	19	13
I3149	5	3	3	18	14
n1718gat	1	5	1	20	12
I3163	0	1	6	17	9
n1507gat	1	2	5	18	8
n1396gat	2	6	5	15	9
n1401gat	2	5	6	14	9
I3168	0	1	6	22	10
n1393gat	1	2	5	23	9
n1409gat	2	6	5	15	9
n1476gat	2	5	6	14	9
I3174	0	1	5	18	11
n1898gat	1	2	4	19	10
n1838gat	1	3	3	20	14
I3179	5	4	1	19	12
I3191	0	1	6	22	9
n1677gat	1	2	5	23	8
n2000gat	3	4	1	12	11
n1412gat	7	3	2	11	6
n2001gat	3	4	2	12	12
n1999gat	1	5	1	13	11
I3211	3	3	3	13	10
n2663gat	3	2	4	12	11
n3018gat	1	4	2	14	9
n2448gat	0	1	7	17	6
n2662gat	2	2	1	12	8
n2444gat	0	1	7	15	5
I3235	2	3	5	17	12
n2238gat	2	2	6	16	13
n3019gat	1	4	4	18	11
n1310gat	0	1	1	26	10
n199gat	3	7	3	7	12
n87gat	3	6	4	6	13
n195gat	3	10	3	7	12
n184gat	3	9	4	6	13
n204gat	4	9	1	6	10
I3273	0	1	2	13	11
n2168gat	1	2	1	14	10
n2452gat	0	1	4	8	7
n1691gat	1	2	3	9	6
I3287	1	3	2	10	14
n3020gat	1	4	1	11	13
I3290	1	3	2	10	11
n3021gat	1	4	1	11	10
I3293	1	3	2	10	11
n3022gat	1	4	1	11	10
n1699gat	1	2	5	9	10
I3297	1	3	4	10	9
n3023gat	1	4	3	11	8
I3300	1	3	4	10	9
n3024gat	1	4	3	11	8
I3303	1	3	4	10	9
n3025gat	1	4	3	11	8
I3306	1	3	4	10	10
n3026gat	1	4	3	11	9
I3309	1	3	4	10	10
n3027gat	1	4	3	11	9
I3312	1	3	4	10	10
n3028gat	1	4	3	11	9
I3315	1	2	8	9	11
n3029gat	1	3	7	10	10
I3318	1	2	11	9	13
n3030gat	1	3	10	10	12
n2260gat	0	1	6	14	9
n2257gat	1	3	5	16	8
n2188gat	0	1	6	14	9
n2187gat	3	4	3	17	6
n3004gat	5	3	4	16	7
I3336	0	1	2	16	13
n2039gat	1	2	1	17	12
I3339	0	1	2	10	9
n1774gat	1	2	1	11	8
I3342	0	1	2	22	13
n1315gat	1	2	1	23	12
n2097gat	0	1	6	16	16
n1855gat	4	3	3	7	13
n2014gat	6	2	4	6	14
I3387	2	5	1	9	11
n2194gat	2	4	2	8	12
I3390	1	3	7	16	10
n3032gat	1	4	6	17	9
n2256gat	1	5	5	18	8
I3394	1	2	7	15	10
n3033gat	1	3	6	16	9
n2251gat	1	4	5	17	8
n2184gat	2	6	3	19	6
n3003gat	2	5	4	18	7
I3401	2	5	1	9	11
n2192gat	2	4	2	8	12
n2133gat	0	1	6	14	9
n2131gat	2	4	6	17	9
n2185gat	2	3	6	16	9
n2049gat	2	4	3	17	6
n3001gat	4	3	4	16	7
I3412	2	5	1	9	11
n2057gat	2	4	2	8	12
n2253gat	1	3	7	16	21
n2252gat	1	2	7	15	21
n2248gat	2	4	6	17	20
n3006gat	2	3	6	16	20
n2264gat	0	1	6	15	20
I3429	0	1	7	15	21
n2265gat	1	2	6	16	20
n2492gat	2	5	2	9	16
n2329gat	3	4	3	8	17
I3436	1	6	1	10	15
n1709gat	1	3	6	18	9
n1845gat	1	2	6	17	9
n1891gat	1	2	6	19	9
n1963gat	1	2	6	19	9
n1886gat	1	2	6	19	9
n1968gat	2	4	6	21	9
n1958gat	2	3	6	20	9
n1629gat	3	4	6	19	9
n1895gat	3	3	6	18	9
n1631gat	1	2	6	17	9
n1711gat	2	5	3	20	6
n2990gat	4	4	4	19	7
n2200gat	4	6	5	19	18
n2078gat	8	5	2	18	19
n2437gat	2	5	3	9	16
n2195gat	2	4	4	8	17
I3457	2	7	1	11	14
n2556gat	2	6	2	10	15
n1956gat	1	3	6	20	9
I3461	1	4	7	21	10
n3038gat	1	5	6	22	9
n1954gat	1	6	5	23	8
I3465	1	3	7	20	10
n3039gat	1	4	6	21	9
n1888gat	1	5	5	22	8
n2048gat	2	7	3	24	6
n2994gat	2	6	4	23	7
I3472	2	7	1	11	15
n2539gat	2	6	2	10	16
n1969gat	1	3	6	18	9
n1893gat	1	3	6	20	9
n1892gat	3	5	3	20	6
n2993gat	7	4	4	19	7
I3483	2	7	1	11	14
n2436gat	2	6	2	10	15
n2056gat	2	5	3	22	6
n2998gat	4	4	4	21	7
I3491	2	7	1	11	14
n2387gat	2	6	2	10	15
I3494	1	3	7	20	10
